id,num_dots,url_length,num_domain_parts,num_hyphens,num_underscores,num_at,num_ampersand,num_tilde,num_percent,hostname_length,is_ip,num_double_slash,has_https,has_suspicious,label
1,3,72,1,0,0,0,0,0,0,21,0,0,0,0,Phishing
2,3,144,1,0,2,0,1,0,0,17,0,0,0,1,Phishing
3,3,58,1,0,0,0,0,0,0,27,0,0,0,0,Phishing
4,3,79,1,1,0,0,0,0,0,22,0,0,0,0,Phishing
5,3,46,0,0,0,0,0,0,0,10,0,0,0,0,Phishing
6,3,42,1,1,0,0,0,0,0,23,0,0,0,0,Phishing
7,2,60,0,0,0,0,0,0,0,17,0,0,0,0,Phishing
8,1,30,0,0,0,0,0,0,0,12,0,0,0,0,Phishing
9,8,76,7,1,0,0,0,0,0,65,0,0,0,0,Phishing
10,2,46,0,0,0,0,0,0,0,14,0,0,0,0,Phishing
11,5,64,4,1,0,0,0,0,0,53,0,0,0,0,Phishing
12,2,47,0,0,0,0,0,0,0,22,0,0,0,1,Phishing
13,2,61,1,1,0,0,0,0,0,43,0,0,1,0,Phishing
14,2,35,1,0,0,0,0,0,0,16,0,0,0,0,Phishing
15,2,60,1,1,0,0,0,0,0,43,0,0,0,0,Phishing
16,3,73,0,0,0,0,0,0,0,33,0,0,0,1,Phishing
17,3,50,0,0,0,0,0,1,0,13,1,0,0,0,Phishing
18,3,59,1,1,0,0,0,0,0,36,0,0,0,0,Phishing
19,2,28,0,0,0,0,0,0,0,9,0,0,0,0,Phishing
20,1,59,0,0,0,0,0,0,0,12,0,0,0,0,Phishing
21,1,32,0,0,0,0,0,0,0,11,0,0,0,0,Phishing
22,5,52,1,0,0,0,0,0,0,25,0,0,0,0,Phishing
23,2,62,1,1,0,0,0,0,0,18,0,0,0,0,Phishing
24,1,105,0,2,0,0,0,0,0,11,0,0,0,0,Phishing
25,4,55,1,0,0,0,0,0,0,31,0,0,0,0,Phishing
26,5,134,0,3,0,0,0,0,0,14,0,0,0,1,Phishing
27,2,43,0,0,0,0,0,0,0,14,0,0,0,0,Phishing
28,6,210,0,2,7,0,4,0,0,9,0,0,0,1,Phishing
29,2,135,0,2,3,0,1,0,0,22,0,0,0,1,Phishing
30,5,85,0,0,0,0,0,0,0,9,0,0,0,0,Phishing
31,2,80,1,0,0,0,0,0,0,32,0,0,0,0,Phishing
32,2,44,0,0,0,0,0,0,0,19,0,0,0,0,Phishing
